"card_id","language","name","subtitle","ability_1_title","ability_1_text","ability_2_title","ability_2_text"
"01","zh-TW","魚人酋長","潮鱗統領","登場｜部族號令","使另一名友方怪獸獲得 +2 戰鬥值，持續至回合結束。","被動｜潮鱗護衛","你的回合結束時，使另一名友方怪獸獲得 1 點護盾。"
"01","en","Murloc Chief","Tidescale Commander","On Play | Tribal Command","Give another ally +2 Attack until the end of the turn.","Passive | Tidescale Guard","At the end of your turn, give another ally 1 Shield."
"01","ja","マーロックの族長","潮鱗の統率者","登場｜部族の号令","他の味方1体の攻撃力をターン終了時まで＋2する。","常時｜潮鱗の守護","自分のターン終了時、他の味方1体にシールド1を付与する。"
"01","ko","멀록 족장","파도비늘 지휘관","등장 | 부족의 명령","이번 턴이 끝날 때까지 다른 아군 하나의 공격력을 +2 증가시킵니다.","지속 | 파도비늘 수호","내 턴 종료 시 다른 아군 하나에게 보호막 1을 부여합니다."
"02","zh-TW","骷髏士兵","朽刃守衛","被動｜亡骨復起","此怪獸第一次被擊敗時，以 1 點血量復活。","",""
"02","en","Skeleton Soldier","Rustblade Guard","Passive | Bone Revival","The first time this monster is defeated, revive it with 1 Health.","",""
"02","ja","骸骨の兵士","朽ち刃の守衛","常時｜骨の再生","初めて倒された時、体力1で復活する。","",""
"02","ko","해골 병사","녹슨 칼날의 파수꾼","지속 | 뼈의 부활","처음 쓰러지면 생명력 1로 부활합니다.","",""
"03","zh-TW","食屍鬼","墓園飢客","被動｜腐宴","此怪獸擊敗敵方怪獸後，恢復自身 2 點血量。","",""
"03","en","Ghoul","Graveyard Hunger","Passive | Carrion Feast","After this monster defeats an enemy, restore 2 Health to itself.","",""
"03","ja","グール","墓場の飢餓者","常時｜腐肉の宴","敵を倒した後、自身の体力を2回復する。","",""
"03","ko","구울","묘지의 굶주림","지속 | 부패의 연회","적을 처치한 후 자신의 생명력을 2 회복합니다.","",""
"04","zh-TW","巨槌大兵","破陣重錘","登場｜碎甲重擊","移除一名敵方怪獸的所有護盾。","",""
"04","en","Greatmaul Soldier","Linebreaker","On Play | Armor Breaker","Remove all Shield from an enemy.","",""
